[2025-07-28T21:07:18.780+0000] {logging_mixin.py:188} INFO - Scraping Page 76 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:21.383+0000] {logging_mixin.py:188} INFO - Scraping Page 77 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:23.976+0000] {logging_mixin.py:188} INFO - Scraping Page 78 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:26.712+0000] {logging_mixin.py:188} INFO - Scraping Page 79 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:29.265+0000] {logging_mixin.py:188} INFO - Scraping Page 80 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:32.296+0000] {logging_mixin.py:188} INFO - Scraping Page 81 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:34.912+0000] {logging_mixin.py:188} INFO - Scraping Page 82 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:37.604+0000] {logging_mixin.py:188} INFO - Scraping Page 83 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:40.194+0000] {logging_mixin.py:188} INFO - Scraping Page 84 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:42.844+0000] {logging_mixin.py:188} INFO - Scraping Page 85 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:45.467+0000] {logging_mixin.py:188} INFO - Scraping Page 86 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:48.227+0000] {logging_mixin.py:188} INFO - Scraping Page 87 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:50.834+0000] {logging_mixin.py:188} INFO - Scraping Page 88 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:53.451+0000] {logging_mixin.py:188} INFO - Scraping Page 89 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:56.038+0000] {logging_mixin.py:188} INFO - Scraping Page 90 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:07:58.691+0000] {logging_mixin.py:188} INFO - Scraping Page 91 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:01.300+0000] {logging_mixin.py:188} INFO - Scraping Page 92 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:03.864+0000] {logging_mixin.py:188} INFO - Scraping Page 93 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:06.402+0000] {logging_mixin.py:188} INFO - Scraping Page 94 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:09.016+0000] {logging_mixin.py:188} INFO - Scraping Page 95 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:11.890+0000] {logging_mixin.py:188} INFO - Scraping Page 96 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:14.541+0000] {logging_mixin.py:188} INFO - Scraping Page 97 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:17.132+0000] {logging_mixin.py:188} INFO - Scraping Page 98 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:19.892+0000] {logging_mixin.py:188} INFO - Scraping Page 99 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:22.481+0000] {logging_mixin.py:188} INFO - Scraping Page 100 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:25.114+0000] {logging_mixin.py:188} INFO - Scraping Page 101 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:27.898+0000] {logging_mixin.py:188} INFO - Scraping Page 102 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:30.509+0000] {logging_mixin.py:188} INFO - Scraping Page 103 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:33.105+0000] {logging_mixin.py:188} INFO - Scraping Page 104 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:35.640+0000] {logging_mixin.py:188} INFO - Scraping Page 105 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:38.221+0000] {logging_mixin.py:188} INFO - Scraping Page 106 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:40.719+0000] {logging_mixin.py:188} INFO - Scraping Page 107 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:43.312+0000] {logging_mixin.py:188} INFO - Scraping Page 108 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:45.925+0000] {logging_mixin.py:188} INFO - Scraping Page 109 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:48.761+0000] {logging_mixin.py:188} INFO - Scraping Page 110 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:51.405+0000] {logging_mixin.py:188} INFO - Scraping Page 111 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:53.982+0000] {logging_mixin.py:188} INFO - Scraping Page 112 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:56.516+0000] {logging_mixin.py:188} INFO - Scraping Page 113 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:08:59.106+0000] {logging_mixin.py:188} INFO - Scraping Page 114 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:01.959+0000] {logging_mixin.py:188} INFO - Scraping Page 115 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:04.512+0000] {logging_mixin.py:188} INFO - Scraping Page 116 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:07.086+0000] {logging_mixin.py:188} INFO - Scraping Page 117 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:09.688+0000] {logging_mixin.py:188} INFO - Scraping Page 118 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:12.200+0000] {logging_mixin.py:188} INFO - Scraping Page 119 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:14.828+0000] {logging_mixin.py:188} INFO - Scraping Page 120 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:17.350+0000] {logging_mixin.py:188} INFO - Scraping Page 121 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:19.930+0000] {logging_mixin.py:188} INFO - Scraping Page 122 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:22.532+0000] {logging_mixin.py:188} INFO - Scraping Page 123 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:25.500+0000] {logging_mixin.py:188} INFO - Scraping Page 124 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:28.021+0000] {logging_mixin.py:188} INFO - Scraping Page 125 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:30.623+0000] {logging_mixin.py:188} INFO - Scraping Page 126 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:33.221+0000] {logging_mixin.py:188} INFO - Scraping Page 127 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:35.990+0000] {logging_mixin.py:188} INFO - Scraping Page 128 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:38.686+0000] {logging_mixin.py:188} INFO - Scraping Page 129 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:41.297+0000] {logging_mixin.py:188} INFO - Scraping Page 130 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:43.917+0000] {logging_mixin.py:188} INFO - Scraping Page 131 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:46.442+0000] {logging_mixin.py:188} INFO - Scraping Page 132 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:48.961+0000] {logging_mixin.py:188} INFO - Scraping Page 133 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:51.496+0000] {logging_mixin.py:188} INFO - Scraping Page 134 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:54.050+0000] {logging_mixin.py:188} INFO - Scraping Page 135 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:56.635+0000] {logging_mixin.py:188} INFO - Scraping Page 136 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:09:59.149+0000] {logging_mixin.py:188} INFO - Scraping Page 137 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:10:01.903+0000] {logging_mixin.py:188} INFO - Scraping Page 138 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:10:04.452+0000] {logging_mixin.py:188} INFO - Scraping Page 139 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:10:07.030+0000] {logging_mixin.py:188} INFO - Scraping Page 140 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:10:09.605+0000] {logging_mixin.py:188} INFO - Scraping Page 141 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:10:12.330+0000] {logging_mixin.py:188} INFO - Scraping Page 142 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:10:14.966+0000] {logging_mixin.py:188} INFO - Scraping Page 143 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:10:17.541+0000] {logging_mixin.py:188} INFO - Scraping Page 144 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:10:29.725+0000] {logging_mixin.py:188} INFO - Saved 1435 reviews to /opt/airflow/data/raw/Samsung_Galaxy_A35_5G_(Awesome_Navy,_256_GB)__(8_GB_RAM)_reviews.csv
