[2025-07-29T20:39:06.785+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-29T20:39:07.577+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.887+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.888+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-07-29T20:39:08.248+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): process_urls_sequentially> on 2025-07-29 20:38:00.592017+00:00
[2025-07-29T20:39:08.265+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=376) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-29T20:42:43.647+0000] {logging_mixin.py:188} INFO - Scraping Page 68 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:46.405+0000] {logging_mixin.py:188} INFO - Scraping Page 69 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:49.217+0000] {logging_mixin.py:188} INFO - Scraping Page 70 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:51.998+0000] {logging_mixin.py:188} INFO - Scraping Page 71 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:54.728+0000] {logging_mixin.py:188} INFO - Scraping Page 72 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:57.457+0000] {logging_mixin.py:188} INFO - Scraping Page 73 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:00.236+0000] {logging_mixin.py:188} INFO - Scraping Page 74 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:03.104+0000] {logging_mixin.py:188} INFO - Scraping Page 75 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:05.997+0000] {logging_mixin.py:188} INFO - Scraping Page 76 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:08.732+0000] {logging_mixin.py:188} INFO - Scraping Page 77 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:11.475+0000] {logging_mixin.py:188} INFO - Scraping Page 78 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:14.213+0000] {logging_mixin.py:188} INFO - Scraping Page 79 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:17.017+0000] {logging_mixin.py:188} INFO - Scraping Page 80 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:17.107+0000] {logging_mixin.py:188} INFO - No reviews found on page 80.
[2025-07-29T20:43:22.289+0000] {logging_mixin.py:188} INFO - Scraping Page 81 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:25.204+0000] {logging_mixin.py:188} INFO - Scraping Page 82 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:27.942+0000] {logging_mixin.py:188} INFO - Scraping Page 83 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:30.699+0000] {logging_mixin.py:188} INFO - Scraping Page 84 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:33.441+0000] {logging_mixin.py:188} INFO - Scraping Page 85 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:36.390+0000] {logging_mixin.py:188} INFO - Scraping Page 86 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:39.216+0000] {logging_mixin.py:188} INFO - Scraping Page 87 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:41.979+0000] {logging_mixin.py:188} INFO - Scraping Page 88 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:44.751+0000] {logging_mixin.py:188} INFO - Scraping Page 89 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:47.500+0000] {logging_mixin.py:188} INFO - Scraping Page 90 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:50.243+0000] {logging_mixin.py:188} INFO - Scraping Page 91 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:53.094+0000] {logging_mixin.py:188} INFO - Scraping Page 92 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:56.275+0000] {logging_mixin.py:188} INFO - Scraping Page 93 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:43:59.061+0000] {logging_mixin.py:188} INFO - Scraping Page 94 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:01.781+0000] {logging_mixin.py:188} INFO - Scraping Page 95 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:04.535+0000] {logging_mixin.py:188} INFO - Scraping Page 96 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:07.311+0000] {logging_mixin.py:188} INFO - Scraping Page 97 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:10.172+0000] {logging_mixin.py:188} INFO - Scraping Page 98 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:13.009+0000] {logging_mixin.py:188} INFO - Scraping Page 99 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:15.809+0000] {logging_mixin.py:188} INFO - Scraping Page 100 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:18.555+0000] {logging_mixin.py:188} INFO - Scraping Page 101 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:21.322+0000] {logging_mixin.py:188} INFO - Scraping Page 102 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:24.054+0000] {logging_mixin.py:188} INFO - Scraping Page 103 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:26.817+0000] {logging_mixin.py:188} INFO - Scraping Page 104 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:29.562+0000] {logging_mixin.py:188} INFO - Scraping Page 105 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:32.293+0000] {logging_mixin.py:188} INFO - Scraping Page 106 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:35.045+0000] {logging_mixin.py:188} INFO - Scraping Page 107 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:37.780+0000] {logging_mixin.py:188} INFO - Scraping Page 108 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:40.506+0000] {logging_mixin.py:188} INFO - Scraping Page 109 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:43.285+0000] {logging_mixin.py:188} INFO - Scraping Page 110 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:46.136+0000] {logging_mixin.py:188} INFO - Scraping Page 111 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:48.894+0000] {logging_mixin.py:188} INFO - Scraping Page 112 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:51.606+0000] {logging_mixin.py:188} INFO - Scraping Page 113 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:54.343+0000] {logging_mixin.py:188} INFO - Scraping Page 114 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:44:57.187+0000] {logging_mixin.py:188} INFO - Scraping Page 115 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:00.009+0000] {logging_mixin.py:188} INFO - Scraping Page 116 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:00.104+0000] {logging_mixin.py:188} INFO - No reviews found on page 116.
[2025-07-29T20:45:05.246+0000] {logging_mixin.py:188} INFO - Scraping Page 117 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:07.970+0000] {logging_mixin.py:188} INFO - Scraping Page 118 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:45:10.687+0000] {logging_mixin.py:188} INFO - Scraping Page 119 for Apple iPhone 12 (Blue, 128 GB)...
